ranking,name,School,State,City,position,height,weight,stars,rating,college
1,D.J. Williams,De La Salle,CA,Concord,ILB,44349,235,5,0.9998,Miami
2,Brock Berlin,Evangel Christian Academy,LA,Shreveport,PRO,44349,190,5,0.9998,Florida
3,Charles Rogers,Saginaw,MI,Saginaw,WR,44351,195,5,0.9988,Michigan State
4,Travis Johnson,Notre Dame,CA,Sherman Oaks,SDE,44351,265,5,0.9982,Florida State
5,Marcus Houston,Thomas Jefferson,CO,Denver,RB,36678,208,5,0.998,Colorado
6,Kwame Harris,Newark,DE,Newark,OT,44354,320,5,0.9978,Stanford
7,B.J. Johnson,South Grand Prairie,TX,Grand Prairie,WR,44348,190,5,0.9976,Texas
8,Bryant McFadden,McArthur,FL,Hollywood,CB,44348,182,5,0.9968,Florida State
9,Sam Maldonado,Harrison,NY,Harrison,RB,44349,215,5,0.9964,Ohio State
10,Mike Munoz,Archbishop Moeller,OH,Cincinnati,OT,44354,290,5,0.996,Tennessee
11,Willis McGahee,Miami Central,FL,Miami,RB,44348,215,5,0.9948,Miami
12,Antonio Hall,McKinley,OH,Canton,OT,44352,295,5,0.9946,Kentucky
13,Darrell Lee,Kirkwood,MO,Saint Louis,WDE,44352,230,5,0.994,Florida
14,O.J. Owens,North Stanly,NC,New London,S,44348,195,5,0.9932,Tennessee
15,Jeff Smoker,Manheim Central,PA,Manheim,PRO,44350,190,5,0.9922,Michigan State
16,Marco Cooper,Cass Technical,MI,Detroit,OLB,44349,235,5,0.9918,Ohio State
17,Chance Mock,The Woodlands,TX,The Woodlands,PRO,44349,190,5,0.9918,Texas
18,Roy Williams,Permian,TX,Odessa,WR,44351,202,5,0.9916,Texas
19,Matt Grootegoed,Mater Dei,CA,Santa Ana,OLB,44327,205,5,0.9914,USC
20,Yohance Buchanan,Douglass,GA,Atlanta,S,44348,210,5,0.9912,Florida State
21,Mac Tyler,Jess Lanier,AL,Hueytown,DT,44353,320,5,0.9912,Alabama
22,Jason Respert,Northside,GA,Warner Robins,OC,44350,300,5,0.9902,Tennessee
23,Casey Clausen,Bishop Alemany,CA,Mission Hills,PRO,44351,215,5,0.9896,Tennessee
24,Albert Means,Trezevant,TN,Memphis,SDE,44353,310,5,0.989,Alabama
25,Albert Hollis,Christian Brothers,CA,Sacramento,RB,36678,190,5,0.989,Georgia
26,Eric Moore,Pahokee,FL,Pahokee,OLB,44351,226,5,0.9884,Florida State
27,Willie Dixon,Stockton Christian School,CA,Stockton,WR,44327,182,5,0.9884,Miami
28,Cory Bailey,American,FL,Hialeah,S,44326,175,5,0.988,Florida
29,Sean Young,Northwest Whitfield County,GA,Tunnel Hill,OG,44353,293,5,0.9878,Tennessee
30,Johnnie Morant,Parsippany Hills,NJ,Morris Plains,WR,44352,225,5,0.9871,Syracuse
31,Wes Sims,Weatherford,OK,Weatherford,OG,44352,310,5,0.9869,Oklahoma
32,Tyson Thompson,Bell,TX,Irving,RB,44349,195,5,0.9869,TCU
33,Jason Campbell,Taylorsville,MS,Taylorsville,PRO,44352,190,5,0.9853,Auburn
34,Antwan Odom,Alma Bryant,AL,Irvington,SDE,44354,260,5,0.9851,Alabama
35,Sloan Thomas,Klein,TX,Spring,WR,44349,188,5,0.9847,Texas
36,Raymond Mann,Hampton,VA,Hampton,ILB,44348,233,5,0.9847,Virginia
37,Alphonso Townsend,Lima Central Catholic,OH,Lima,DT,44353,280,5,0.9847,Ohio State
38,Greg Jones,Battery Creek,SC,Beaufort,RB,44349,245,5,0.9837,Florida State
39,Chris Septak,Millard West,NE,Omaha,TE,44350,245,5,0.9833,Nebraska
40,Paul Mociler,St. John Bosco,CA,Bellflower,OG,44352,300,5,0.9833,UCLA
41,Eric Knott,Henry Ford II,MI,Sterling Heights,TE,44351,235,4,0.9831,Michigan State
42,Harold James,Osceola,AR,Osceola,S,44348,220,4,0.9827,Alabama
43,Chris Rix,Santa Margarita Catholic,CA,Rancho Santa Margarita,PRO,44351,200,4,0.9827,Florida State
44,Teyo Johnson,Mira Mesa,CA,San Diego,ATH,44354,256,4,0.9827,Stanford
45,Chris McKelvy,North Penn,PA,Lansdale,OT,44352,300,4,0.9821,Penn State
46,Joe McGuire,Servite,CA,Anaheim,OT,44352,225,4,0.9819,USC
47,Anthony Bryant,Sunshine Sch,AL,Newbern,SDE,44351,310,4,0.9815,Alabama
48,Brock Edwards,Fort Worth Christian,TX,North Richland Hills,TE,44352,250,4,0.9815,Texas
49,Carlos Perez,Hoboken,NJ,Hoboken,WR,44348,195,4,0.9811,Florida
50,Adam Doiron,Duncan,OK,Duncan,SDE,44351,260,4,0.9807,Texas
51,Tre Orr,Columbia,FL,Lake City,S,44349,190,4,0.9805,Florida
52,Hobie Holiday,Houston County,GA,Warner Robins,OLB,44352,228,4,0.9791,Georgia Tech
53,Shannon Snell,Hillsborough,FL,Tampa,OG,44353,305,4,0.9791,Florida
54,Larry Stevens,Wilson,WA,Tacoma,OLB,44351,215,4,0.9791,Michigan
55,Sam Ruhe,Walsh Jesuit,OH,Stow,SDE,44352,245,4,0.9787,Penn State
56,Amon Gordon,Mira Mesa,CA,San Diego,OLB,44350,270,4,0.9781,Stanford
57,Steve Lee,Evangel Christian Academy,LA,Shreveport,DT,44351,308,4,0.9777,Texas
